adjutant|kanban_musume_035|こんにちは、指揮官さま。お昼寝の後のお飲み物はいかがですか？頭がすっきりしますよ。
adjutant|kanban_musume_027|私の願いはたくさんありますわ。でもここにいればすべて満たされます。そうでしょ、指揮官さま？
adjutant|kanban_musume_043|お疲れ様です、指揮官さま。
mall|kanban_musume_004|指揮官さま、お買い物をしてくれないと、私の稼ぎがなくなりますわ！
mall|kanban_musume_002|指揮官さま、今日はいいお天気ですわよ、まさにショッピング日和！
mall|kanban_musume_001|指揮官さま、今日は何もお買い上げにならないのですか？
mall|kanban_musume_033|指揮官さま、おはようございます。今日は何かお探しですか？
mall|kanban_musume_005|指揮官さま、先にお食事？お風呂？それとも…お買い物はいかが？
buy|kanban_musume_041|こちらが商品になります。他に何かご覧になりますか？
buy|kanban_musume_044|承知いたしました。またのお越しをお待ちしております。
buy|kanban_musume_038|ありがとうございます。他になにかご入用ですか？
buy|kanban_musume_042|指揮官さま、お気をつけて。
buy|kanban_musume_039|お取引が完了しました。今すぐご確認されますか？
buy|kanban_musume_040|さすがは指揮官さま、素晴らしいご判断ですわ！
level|0|kanban_musume_003|指揮官さま、私、お腹が空いちゃいました…
level|0|kanban_musume_032|おはようございます、指揮官さま。朝食はもうお済みですか？
level|0|kanban_musume_049|うひひひひ
level|1|kanban_musume_008|指揮官さま、何かお買い物？お安くしてあげてもよろしいですわよ！
level|2|kanban_musume_024|指揮官さま、奇跡が起きるかどうかは、私のピュアな魔法と、少しのお金にかかってるんです！
level|3|kanban_musume_050|うふふふ～
level|4|kanban_musume_011|指揮官さま、今日は何をお求めですか？全部お安くしてあげますわよ！
level|5|kanban_musume_007|ウフフ、またお金がいっぱい…あら！指揮官さま、いらっしゃったのですか！
level|6|kanban_musume_018|どうぞ、ごゆーっくりお選びくださいな。
level|7|kanban_musume_055|イェーイ～
level|8|kanban_musume_012|近ごろ在庫が多いわね…あら指揮官さま！いいところへ。今日は特別にお安くしてあげますわ！
level|9|kanban_musume_009|フンフンフン（鼻歌）…あら指揮官さま、私今日は気分がいいんです。全部お安くしてあげますわ！
level|10|kanban_musume_052|アハハハハ
level|11|kanban_musume_029|指揮官さま、そんなに気前よくお買い物してくださったら、私、夢中になってしまいそうです・・・お金にですけど。
level|12|kanban_musume_006|指揮官さまったら、気前がよろしいこと。でも…お安くはしませんからね！
level|13|kanban_musume_054|くっくっくっ
level|14|kanban_musume_020|実を言えば…お金がそれほど好きなわけではありません。ただ他に好きなものがないだけなんです。
level|15|kanban_musume_036|指揮官さま、夜はあまり根を詰めてお仕事をしないでくださいね。必要でしたら、お買い物をなさってくださいね。
level|16|kanban_musume_023|これと、あれと、あっちにあるもの以外は、すべて仕入値でお売りします。本当ですわ。
level|17|kanban_musume_056|わーい～
level|18|kanban_musume_025|私のことをもっと知りたい？プライバシーを切り売りするようなことはいたしません。
level|19|kanban_musume_034|すこ～しお金を使って、素敵な午後を過ごしませんか？
level|20|kanban_musume_010|えっ？お金が足りない？…もう、しょうがないですわね。今日は特別に割引してあげますわ。
level|21|kanban_musume_022|おしゃべりでもかまいませんわ。お得意様ですから、一回だけなら特別に無料にしてさしあげます。
level|22|kanban_musume_053|アヒャヒャヒャヒャ
level|23|kanban_musume_037|すっかり遅い時間ですわね、指揮官さま。お夜食はいかがですか？
level|24|kanban_musume_014|もう商品を置く場所がないわ…指揮官さま、何か買っていってください、原価でお譲りしますから！
level|25|kanban_musume_028|「お金に操られるのではなく、お金を操るのだ」という名言がありますが、あなたを操ったりはしません、この世で一番大切な指揮官さま。
level|26|kanban_musume_051|えへへへっ
level|27|kanban_musume_021|ゲームをしましょう。指揮官様が勝てば無料で何か差し上げますが、負けたらお買い物をしていただきます。・・・いかが？
level|28|kanban_musume_013|指揮官さま！もっと買っていただければ、サプライズがありますよ！
level|29|kanban_musume_030|商品にはたくさん割引をしてますけど・・・あなたへの気持ちを割引きしたことはありません・・・。
level|30|kanban_musume_031|私たちの契約を忘れないでくださいね。お金はその一部にすぎないんですから。
tutorialguide|0|NPC_Kalina_Guide_Voice01|コツさえ掴めば、指揮官さまの作戦がよりスムーズに進むこと間違いなしです！
tutorialguide|0|NPC_Kalina_Guide_Voice02|作戦Tipsが見たいのですか？左のメニューからご覧になれますよ
tutorialguide|0|NPC_Kalina_Guide_Voice03|各種施設の利用方法は、「施設紹介」をご覧くださいね
tutorialguide|0|NPC_Kalina_Guide_Voice04|分からない言葉に出くわしましたか？それなら「データベース」をご覧ください
tutorialguide|0|NPC_Kalina_Guide_Voice05|手引きにあるチュートリアルは全て無料ですよ、安心してご使用ください～
