enemy_illustration_skill-10000999,待更新
enemy_illustration_skill-20000999,相關文案製作中
enemy_illustration_skill-10000001,普通射擊
enemy_illustration_skill-20000001,攻擊距離自己最近的我方單位
enemy_illustration_skill-10000002,常規射擊
enemy_illustration_skill-20000002,攻擊最前排的我方單位
enemy_illustration_skill-10000003,普通打擊
enemy_illustration_skill-20000003,用近戰裝備攻擊距離自己最近的我方單位
enemy_illustration_skill-10000004,SWAP·護衛者
enemy_illustration_skill-20000004,張開一個等同於最大生命值30%血量的護盾//c持續6秒。護盾持續時間內敵方單位無法進行普攻
enemy_illustration_skill-10000005,SWAP·獵鷗
enemy_illustration_skill-20000005,瞄準2.5秒後//c對我方最後排的單位造成一次狙擊傷害。
enemy_illustration_skill-10000006,SWAP痛擊者機槍技能
enemy_illustration_skill-20000006,用機槍射擊最前排的我方單位
enemy_illustration_skill-10000007,SWAP·龍騎
enemy_illustration_skill-20000007,戰鬥開始時敵方龍騎發起衝鋒//c向我方高速移動//c我方進入其攻擊範圍後衝鋒狀態移除
enemy_illustration_skill-10000008,精確打擊
enemy_illustration_skill-20000008,向我方最後排隨機單位投擲榴彈，在預警後對目標位置造成較高傷害
enemy_illustration_skill-10000009,聖盾防護
enemy_illustration_skill-20000009,張開一個等同於最大生命值30%血量的護盾//c持續6秒。護盾持續時間內敵方單位無法進行普攻
enemy_illustration_skill-10000010,鋼獅的炮擊
enemy_illustration_skill-20000010,開炮攻擊最前排的我方單位
enemy_illustration_skill-10000011,自爆
enemy_illustration_skill-20000011,前進並在檢測到我方後//c立刻觸發自爆對周邊我方造成巨量傷害。
enemy_illustration_skill-10000012,木星轟擊
enemy_illustration_skill-20000012,發動強火力的炮擊，如果該單位所在點被包圍切斷電源，將只會啟動最低限度的自衛火力
enemy_illustration_skill-10000013,強無敵的射擊
enemy_illustration_skill-20000013,攻擊最前排的我方單位
enemy_illustration_skill-10000014,牝鹿的射擊
enemy_illustration_skill-20000014,擁有較遠射程，用高速的連擊火炮攻擊最前排的我方單位
enemy_illustration_skill-10000015,獨眼巨人步槍
enemy_illustration_skill-20000015,用步槍對最前排的我方單位造成傷害
enemy_illustration_skill-10000016,獨眼巨人·榴彈
