fight_environment_skill-10000001,能量護盾
fight_environment_skill-20000001,戰鬥中為本梯隊內的所有衝鋒槍張開護盾//c每個護盾最多吸收40點傷害。
fight_environment_skill-10000002,狙擊指令
fight_environment_skill-20000002,戰鬥中瞄準敵方血量最高的角色//c造成2500點傷害。
fight_environment_skill-10000003,防暴強化
fight_environment_skill-20000003,戰鬥中為本梯隊內的所有霰彈槍加強防暴能力//c護甲提升15%//c持續20秒。
fight_environment_skill-10000004,嘲諷靶機
fight_environment_skill-20000004,戰鬥開場時投放一個能夠吸引敵方傷害的靶機//c靶機具有400生命值。
fight_environment_skill-10000005,炮擊指令
fight_environment_skill-20000005,戰鬥中發射一枚迫擊炮彈//c對2.5範圍內的敵人造成200的傷害。
fight_environment_skill-10000006,致命空襲
fight_environment_skill-20000006,戰鬥開場時呼叫空中打擊//c對全體敵人造成80的傷害。
fight_environment_skill-10000007,戰鬥效率
fight_environment_skill-20000007,戰鬥中提升本梯隊全體傷害5%和射速5%//c持續20秒（不可疊加）。
fight_environment_skill-10000008,怒無限強
fight_environment_skill-20000008,戰鬥中提升本梯隊全體命中10%和暴擊率10%//c持續20秒（不可疊加）。
fight_environment_skill-10000701,夜間怒氣
fight_environment_skill-20000701,夜間作戰時，我方暴擊率和暴擊傷害增加30%
fight_environment_skill-10000702,近身打擊
fight_environment_skill-20000702,我方對範圍3以內的敵方單位傷害提升20%
fight_environment_skill-10000703,突擊慣性
fight_environment_skill-20000703,該場戰鬥中提升我方全體傷害和迴避每4秒提升3%，最多疊加10層
fight_environment_skill-10000704,迅速整備
fight_environment_skill-20000704,我方前置冷卻時間縮減30%
fight_environment_skill-10000705,偏轉力場
fight_environment_skill-20000705,我方血量最高單位開場獲得9999點偏轉力場，持續8秒
fight_environment_skill-10000706,裝甲缺失
fight_environment_skill-20000706,本場戰鬥我方護甲降低90%
fight_environment_skill-10000707,火力抑制
fight_environment_skill-20000707,每10秒眩暈我方輸出最高的單位5秒
fight_environment_skill-10000708,燃燒打擊
fight_environment_skill-20000708,開場在我方第一排生成燃燒區域，每10幀50點編制傷害，持續10秒
fight_environment_skill-10000709,中樞遲緩
fight_environment_skill-20000709,我方前置冷卻時間延長30%
fight_environment_skill-10000710,隊長之殤
fight_environment_skill-20000710,我方隊長傷害、命中、迴避、護甲和暴擊率降低90%
fight_environment_skill-10000711,步履維艱
fight_environment_skill-20000711,我方全體移速下降50%
fight_environment_skill-10000712,動彈不得
fight_environment_skill-20000712,本場戰鬥我方迴避降低90%
fight_environment_skill-10000713,鬼影迷蹤
fight_environment_skill-20000713,大幅提升敵方迴避500%
fight_environment_skill-10000714,摸魚禁止
fight_environment_skill-20000714,每隔15秒對我方輸出最低的單位造成999點傷害
fight_environment_skill-10000715,鐵甲肉盾
fight_environment_skill-20000715,我方血量最高的單位額外獲得50%減傷
fight_environment_skill-10000716,天譴之人
fight_environment_skill-20000716,每隔15秒隨機弱化一個人形單位，大幅降低該人形屬性（傷害，射速，命中，迴避，護甲）50%持續5秒
fight_environment_skill-10000717,焦土戰略
fight_environment_skill-20000717,每隔6秒時間向敵人血量最高單位投擲燃燒物，每0.33秒造成100點傷害，持續15秒，範圍3*3
fight_environment_skill-10000718,堅守陣地
fight_environment_skill-20000718,每隔3秒提升我方前排人形迴避和護甲10%，最多10層
fight_environment_skill-10000719,負隅頑抗
fight_environment_skill-20000719,每隔15秒時間恢復敵方已損失血量10%的護盾持續6秒
fight_environment_skill-10000720,鋼鐵靶機
fight_environment_skill-20000720,每隔10秒召喚1組5編，每編1000血的靶機
fight_environment_skill-10000721,腹背受敵
fight_environment_skill-20000721,每隔6秒在我方梯隊前方生成1組敵人
fight_environment_skill-10000722,越戰越勇
fight_environment_skill-20000722,我方每次使用技能後下次技能冷卻減少20%
