mission-10000001,熱身運動
mission-20000001,
mission-30000001,無妖精需求
mission-40000001,
mission-10000002,黑色情報
mission-20000002,
mission-30000002,無妖精需求
mission-40000002,
mission-10000003,守護據點
mission-20000003,
mission-30000003,無妖精需求
mission-40000003,
mission-10000004,最終挑戰
mission-20000004,
mission-30000004,無妖精需求
mission-40000004,對於低傷害且高攻擊頻率類型的敵人，使用霰彈槍作為前排單位能獲得更好的抵禦效果。
mission-10000005,演習訓練
mission-20000005,
mission-30000005,無妖精需求
mission-40000005,
mission-10000006,轉移傷患
mission-20000006,
mission-30000006,無妖精需求
mission-40000006,
mission-10000007,調查異常
mission-20000007,
mission-30000007,無妖精需求
mission-40000007,
mission-10000008,失蹤人口
mission-20000008,
mission-30000008,無妖精需求
mission-40000008,
mission-10000009,救援訊號
mission-20000009,
mission-30000009,無妖精需求
mission-40000009,
mission-10000010,除草行動
mission-20000010,
mission-30000010,無妖精需求
mission-40000010,
mission-10000011,進階訓練Ⅰ
mission-20000011,
mission-30000011,無妖精需求
mission-40000011,
mission-10000012,進階訓練Ⅱ
mission-20000012,
mission-30000012,無妖精需求
mission-40000012,
mission-10000013,進階訓練Ⅲ
mission-20000013,
mission-30000013,無妖精需求
mission-40000013,
mission-10000014,進階訓練Ⅳ
mission-20000014,
mission-30000014,無妖精需求
mission-40000014,
mission-10000015,追蹤日誌
mission-20000015,
mission-30000015,無妖精需求
mission-40000015,
mission-10000016,緊急支援
mission-20000016,
mission-30000016,無妖精需求
mission-40000016,
mission-10000017,調查敵情
mission-20000017,
mission-30000017,無妖精需求
mission-40000017,
mission-10000018,採集數據
mission-20000018,
mission-30000018,無妖精需求
mission-40000018,
mission-10000019,額外委託
mission-20000019,
mission-30000019,無妖精需求
mission-40000019,
mission-10000020,終止作戰
mission-20000020,
mission-30000020,無妖精需求
mission-40000020,
mission-10000021,戰地樣本Ⅰ
mission-20000021,
mission-30000021,無妖精需求
mission-40000021,
mission-10000022,戰地樣本Ⅱ
mission-20000022,
mission-30000022,無妖精需求
mission-40000022,
mission-10000023,戰地樣本Ⅲ
mission-20000023,
mission-30000023,無妖精需求
mission-40000023,
mission-10000024,戰地樣本Ⅳ
mission-20000024,
mission-30000024,無妖精需求
mission-40000024,
