mission_buff_config-10000001,減耗BUFF
mission_buff_config-20000001,一定回合數消耗為零
mission_buff_config-10000002,戰鬥buff
mission_buff_config-20000002,增加攻擊攻速
mission_buff_config-10000003,暴擊buff
mission_buff_config-20000003,增加暴擊爆傷
mission_buff_config-10000005,防禦buff
mission_buff_config-20000005,減少梯隊收到傷害
mission_buff_config-10000006,堡壘buff
mission_buff_config-20000006,增加梯隊屬性
mission_buff_config-10000008,增援buff
mission_buff_config-20000008,增援後增加一場戰鬥提升迴避
mission_buff_config-10000013,經驗buff
mission_buff_config-20000013,增加經驗獲得
mission_buff_config-10000014,掉落buff
mission_buff_config-20000014,增加掉落機率
mission_buff_config-10000015,夜戰buff
mission_buff_config-20000015,增加視野
mission_buff_config-10010086,空降debuff
mission_buff_config-20010086,降低各項屬性
mission_buff_config-10001301,經驗buff
mission_buff_config-20001301,等級1
mission_buff_config-10001302,經驗buff
mission_buff_config-20001302,等級2
mission_buff_config-10001303,經驗buff
mission_buff_config-20001303,等級3
mission_buff_config-10001304,經驗buff
mission_buff_config-20001304,等級4
mission_buff_config-10001305,經驗buff
mission_buff_config-20001305,等級5
mission_buff_config-10001306,經驗buff
mission_buff_config-20001306,等級6
mission_buff_config-10001307,經驗buff
mission_buff_config-20001307,等級7
mission_buff_config-10001308,經驗buff
mission_buff_config-20001308,等級8
mission_buff_config-10001309,經驗buff
mission_buff_config-20001309,等級9
mission_buff_config-10001310,經驗buff
mission_buff_config-20001310,等級10
mission_buff_config-10001501,視野buff
mission_buff_config-20001501,等級1
mission_buff_config-10001502,視野buff
mission_buff_config-20001502,等級2
mission_buff_config-10001503,視野buff
mission_buff_config-20001503,等級3
mission_buff_config-10001504,視野buff
mission_buff_config-20001504,等級4
mission_buff_config-10001505,視野buff
mission_buff_config-20001505,等級5
mission_buff_config-10001506,視野buff
mission_buff_config-20001506,等級6
mission_buff_config-10001507,視野buff
mission_buff_config-20001507,等級7
mission_buff_config-10001508,視野buff
mission_buff_config-20001508,等級8
mission_buff_config-10001509,視野buff
mission_buff_config-20001509,等級9
mission_buff_config-10001510,視野buff
mission_buff_config-20001510,等級10
mission_buff_config-10001004,花瓣buff
mission_buff_config-20001004,增加梯隊屬性
mission_buff_config-11000000,攜帶炸藥
mission_buff_config-21000000,攜帶炸藥
mission_buff_config-11000001,電磁癱瘓
mission_buff_config-21000001,降低各項屬性
mission_buff_config-11000002,掩體作戰
mission_buff_config-21000002,減少梯隊收到傷害
mission_buff_config-11000003,【標記】1回合定身
mission_buff_config-21000003,
mission_buff_config-11000004,【標記】99回合定身
mission_buff_config-21000004,
mission_buff_config-11000005,【標記】99回合
mission_buff_config-21000005,
mission_buff_config-10001700,連擊標記
mission_buff_config-20001700,連擊標記
mission_buff_config-10001701,二連擊
mission_buff_config-20001701,二連擊
mission_buff_config-10001702,多連擊
